Date,Hour,DN,UniqUsrs
12/10/2015,1,AM,68
12/10/2015,2,AM,40
12/10/2015,3,AM,21
12/10/2015,4,AM,16
12/10/2015,5,AM,10
12/10/2015,6,AM,14
12/10/2015,7,AM,34
12/10/2015,8,AM,66
12/10/2015,9,AM,109
12/10/2015,10,AM,168
12/10/2015,11,AM,209
12/10/2015,12,AM,105
12/10/2015,1,PM,279
12/10/2015,2,PM,313
12/10/2015,3,PM,279
12/10/2015,4,PM,295
12/10/2015,5,PM,217
12/10/2015,6,PM,221
12/10/2015,7,PM,250
12/10/2015,8,PM,251
12/10/2015,9,PM,222
12/10/2015,10,PM,198
12/10/2015,11,PM,151
12/10/2015,12,PM,241
12/9/2015,1,AM,12
12/9/2015,2,AM,2
12/9/2015,3,AM,2
12/9/2015,4,AM,1
12/9/2015,5,AM,4
12/9/2015,6,AM,8
12/9/2015,7,AM,21
12/9/2015,8,AM,63
12/9/2015,9,AM,96
12/9/2015,10,AM,151
12/9/2015,11,AM,159
12/9/2015,12,AM,78
12/9/2015,1,PM,204
12/9/2015,2,PM,231
12/9/2015,3,PM,227
12/9/2015,4,PM,245
12/9/2015,5,PM,199
12/9/2015,6,PM,234
12/9/2015,7,PM,246
12/9/2015,8,PM,226
12/9/2015,9,PM,214
12/9/2015,10,PM,186
12/9/2015,11,PM,154
12/9/2015,12,PM,224
