MACAddress,Username,Campus,Role,Device Name,Group,Folder,Device Location,ConnectDate,ConnectHour,ConnectMinute,ConnectDN,DisconnectDate,DisconnectHour,DisconnectMinute,DisconnectDN,Duration,Total Traffic (MB),Total Traffic In (MB),Total Traffic Out (MB),Avg Usage (Kbps),Avg Signal (dBm),Avg Signal Quality,Vendor,Connection Mode,SSID,AOS Device Type,Device Type,Manufacturer,Model,OS,OS Detail
daa6b2c3ea18d0112d1bdc379b4491df1456c04fcb02493bb9c6776b83547c63,-,-2,-3,CUC-MUDD-2-NE,Access Points,Top > CUC > Honold Mudd Library > Cafe,-4,12/9/2015 20:26,12/9/2015 20:26,12/9/2015 20:26,12/9/2015 20:26,12/9/2015 20:27,12/9/2015 20:27,12/9/2015 20:27,12/9/2015 20:27,0 mins,0,0.002,0.003,0.004,0.005,0.006,"Samsung Electro Mechanics co., LTD.",802.11n (2.4 GHz),Claremont,Android,Samsung SPH-L720T,Samsung,SPH-L720T,Android2,Linux; U; Android 5.0.1; SPH-L720T Build/LRX22C
daa6b2c3ea18d0112d1bdc379b4491df1456c04fcb02493bb9c6776b83547c63,-,-,-,CUC-MUDD-2-NE,Access Points,Top > CUC > Honold Mudd Library > Cafe,-,12/9/2015,8,28,PM,12/9/2015,8,28,PM,0 mins,0,0,0,0,0,0,"Samsung Electro Mechanics co., LTD.",802.11n (2.4 GHz),Claremont,Android,Samsung SPH-L720T,Samsung,SPH-L720T,Android,Linux; U; Android 5.0.1; SPH-L720T Build/LRX22C
daa6b2c3ea18d0112d1bdc379b4491df1456c04fcb02493bb9c6776b83547c63,-,-,-,CUC-MUDD-2-NE,Access Points,Top > CUC > Honold Mudd Library > Cafe,-,12/9/2015,8,28,PM,12/9/2015,8,29,PM,0 mins,0,0,0,0,0,0,"Samsung Electro Mechanics co., LTD.",802.11n (2.4 GHz),Claremont,Android,Samsung SPH-L720T,Samsung,SPH-L720T,Android,Linux; U; Android 5.0.1; SPH-L720T Build/LRX22C
daa6b2c3ea18d0112d1bdc379b4491df1456c04fcb02493bb9c6776b83547c63,-,-,-,CUC-MUDD-2-NE,Access Points,Top > CUC > Honold Mudd Library > Cafe,-,12/9/2015,8,30,PM,12/9/2015,8,30,PM,0 mins,0,0,0,0,0,0,"Samsung Electro Mechanics co., LTD.",802.11n (2.4 GHz),Claremont,Android,Samsung SPH-L720T,Samsung,SPH-L720T,Android,Linux; U; Android 5.0.1; SPH-L720T Build/LRX22C
daa6b2c3ea18d0112d1bdc379b4491df1456c04fcb02493bb9c6776b83547c63,-,-,-,CUC-HON-2-E-BRIDGE,Access Points,Top > CUC > Honold Mudd Library > Second Floor,Honnold 2 East,12/9/2015,9,20,PM,12/9/2015,9,20,PM,0 mins,0,0,0,0,0,0,"Samsung Electro Mechanics co., LTD.",802.11n (2.4 GHz),Claremont,Android,Samsung SPH-L720T,Samsung,SPH-L720T,Android,Linux; U; Android 5.0.1; SPH-L720T Build/LRX22C
daa6b2c3ea18d0112d1bdc379b4491df1456c04fcb02493bb9c6776b83547c63,-,-,-,CUC-MUDD-2-NE,Access Points,Top > CUC > Honold Mudd Library > Cafe,-,12/9/2015,9,19,PM,12/9/2015,9,19,PM,0 mins,0,0,0,0,0,0,"Samsung Electro Mechanics co., LTD.",802.11n (5 GHz),Claremont,Android,Samsung SPH-L720T,Samsung,SPH-L720T,Android,Linux; U; Android 5.0.1; SPH-L720T Build/LRX22C
03dbd538224218548a459bc027d2f151e6355a39d95fe06e634bdb174b73da1f,412c5e520a5968473c8ac8b21f36254571bb865c03a1ea9d427def26aa07342f,scr,CLAREMONT-WPA-ROLE,CUC-HON-2-S-RTLS,Access Points,Top > CUC > Honold Mudd Library > Second Floor,Honnold 2 South,12/9/2015,3,16,PM,12/9/2015,3,26,PM,10 mins,0,0,0,0,-97,0,"Samsung Electro Mechanics co., LTD.",802.11n (5 GHz),Claremont-WPA,Android,Samsung SCH-I545,Samsung,SCH-I545,Android,Linux; U; Android 4.4.2; SCH-I545 Build/KOT49H
03dbd538224218548a459bc027d2f151e6355a39d95fe06e634bdb174b73da1f,412c5e520a5968473c8ac8b21f36254571bb865c03a1ea9d427def26aa07342f,scr,CLAREMONT-WPA-ROLE,CUC-MUDD-2-W,Access Points,Top > CUC > Honold Mudd Library > Second Floor,-,12/9/2015,4,38,PM,12/9/2015,4,58,PM,20 mins,0,0,0,0,-82.67,10,"Samsung Electro Mechanics co., LTD.",802.11n (5 GHz),Claremont-WPA,Android,Samsung SCH-I545,Samsung,SCH-I545,Android,Linux; U; Android 4.4.2; SCH-I545 Build/KOT49H
03dbd538224218548a459bc027d2f151e6355a39d95fe06e634bdb174b73da1f,412c5e520a5968473c8ac8b21f36254571bb865c03a1ea9d427def26aa07342f,scr,CLAREMONT-WPA-ROLE,CUC-HON-1-W-CAFE,Access Points,Top > CUC > Honold Mudd Library > First Floor,Honnold Cafe,12/9/2015,3,26,PM,12/9/2015,4,38,PM,1 hr 11 mins,0.36,0.19,0.17,0.81,-45.7,51,"Samsung Electro Mechanics co., LTD.",802.11n (5 GHz),Claremont-WPA,Android,Samsung SCH-I545,Samsung,SCH-I545,Android,Linux; U; Android 4.4.2; SCH-I545 Build/KOT49H
7acfbdbba1135a102c37a4e2a6cae092d83d76865a69557089d9b374c34460fd,c74291069ba9f47989ae578b77d419179015bda553bd641378b6077b71288d97,cmc,CLAREMONT-WPA-ROLE,CUC-HON-3-E-BRIDGE,Access Points,Top > CUC > Honold Mudd Library > Third Floor,-,12/9/2015,10,14,PM,12/9/2015,10,17,PM,3 mins,0,0,0,0,-66,31,Apple,802.11n (5 GHz),Claremont-WPA,iPhone,Apple iPhone,Apple,iPhone,iOS,8_1_2
